X,Y,Name
71.052869,29.240147026168,Shrine of Hazrat Jalal-u-Din Surakh Posh
71.6813191,29.403831226168,Medical technician
71.9851812,29.442572526168,Lal Suhanra National Park
71.8301592,29.314762626168,Quaid-e-Azam Solar Park
72.1399471,29.013320026168,Mauj Garh Fort
71.6849904,29.390933926168,Govt. Central Library Bahawalpur
71.6853498,29.389856826168,Bahawalpur Museum
71.9846325,29.443227126168,TDCP Resort
71.3427978,28.766193126168,Royal Graveyard
71.3303095,28.770773526168,Shrines of Companions of the Holy Prophet
71.6832911,29.395746926168,Fareed Gate
71.6849542,29.394131426168,Govt Sadiq Dane Model High School Bahawalpur
71.6974619,29.394742926168,Gulzar Palace
71.6519177,29.403304326168,Bahawalpur
71.3343583,28.768008326168,قلعہ دراوڑ
71.0525111,29.240920826168,Tomb of Javindi Bibi
71.052606,29.240660126168,Tomb Of Nauria
71.5432839,29.313675426168,Dargah Hazrat Khawaja Mohkam Din Serani
71.666974,29.394643526168,Shikarpuri Gate
71.6754148,29.401571326168,Multani Gate Bazaar
71.6832911,29.395746926168,Fareed Gate
71.4652203,30.193746526168,Bohar Gate
71.6728903,29.392601126168,Ahmedpuri Gate
71.6759232,29.391728926168,Derawari Gate
71.683553,29.399200626168,Mohri Gate
71.6830887,29.402899726168,Dring Stadium Bahawalpur
71.6849904,29.390933926168,Govt. Central Library Bahawalpur
71.6618355,29.393680426168,SS World Family Park
71.6887252,29.393343726168,Haqqi Centre
71.9616217,29.310262126168,Whispering Hill Rest House
71.9683691,29.381489126168,Black Buck Ennlosure Feeding Point
70.8081236,27.855097726168,Islamgarh Fort
71.1567344,29.914187326168,Khangarh
71.37188,28.346003026168,Nawan Kot Fort
71.6820077,28.089929726168,Bijnot fort
71.6740097,29.372250826168,Basti Malook Shah
71.6807623,29.388877326168,Bahawal Victoria Hospital
71.052606,29.240660126168,Tomb Of Nauria
71.0525111,29.240920826168,Tomb of Javindi Bibi
71.683647,29.401134626168,TDCP Bahawalpur Regional Office
70.6606416,28.634687826168,Tomb of Nawabs
71.6807623,29.388877326168,Bahawal Victoria Hospital
71.052606,29.240660126168,Tomb Of Nauria
71.0782606,29.238110826168,Pir Hassan Shah
71.0525111,29.240920826168,Tomb of Javindi Bibi
71.6820077,28.089929726168,Bijnot fort
71.5723953,28.506196926168,Cholistan Desert
72.5481187,29.167799226168,Jam Garh Fort
72.5291713,29.692359326168,Hasilpur Sports Club
72.5548655,29.692155026168,Allama Iqbal Park
72.2391186,29.584996326168,Iqbal Rehmani Gym Land Club
72.2379769,29.571714026168,KPT Children Park
72.6211227,29.174202326168,Meer Garh Fort
73.0676442,33.640328826168,Gulshan-e-Zohra/ Fatima Jinnah Family Park
73.148727,33.537412026168,Gulshan-e-Riaz
71.0628372,31.621676126168,Jamil Stadium Bhakkar
71.0740328,31.622032426168,Canal Rest House
71.0538241,31.637211326168,Dilkusha Bagh
71.088572,31.630361026168,Mini Zoo Bhakkar
73.1112319,33.745302626168,Shrine Of Hazrat Bari Imam Sarkar
73.0624327,33.734515526168,Japanese Children Park
71.2787698,32.151652126168,Office Farida Garden
71.4386415,31.385735626168,Ruins of Mankera Fort
73.6116742,32.944842326168,Malot
72.9761143,32.789152526168,Dhoke Tahlian
72.6036551,32.662018426168,Neela Wahan
72.9969872,32.803271126168,Kot Raja Dam
72.8581943,32.805760326168,Khokhar-Zer Dam
72.8559375,33.047361426168,Minwal
72.7481193,32.563595026168,Qalandar Baba Syed Safdar Ali Bukhari Shrine
72.15,34.416944426168,Khwar Garai Dhand
72.8654715,32.935366026168,Model Bazaar Chakwal
73.3451915,33.880247526168,TDCP Restaurant and Family Resort
72.773255,33.025433626168,Lakhwal Dam
72.7054062,32.770145426168,TDCP Resort
72.9407698,32.789854126168,"Dhok Ban Ameer Khatoon School, Chakwal"
72.7540059,32.689562426168,Simbal Lake
72.7022664,32.919943226168,Chakwal canyons
72.7572588,32.858027926168,Old Bhaun Temple
71.933333,32.541667026168,Sakesar
71.3355374,32.503247226168,Kafir Kot
72.7054062,32.770145426168,TDCP Resort
72.9516435,32.723988626168,Katas Raj Temples
72.7996986,32.684592226168,Malot Fort
72.9785353,32.721951326168,Choa Saidan Shah
72.7082383,32.775711626168,Kallar Kihar Lake
72.6036551,32.662018426168,Neela Wahan
72.700116,32.769596326168,Kallar Kahar Museum
72.7054062,32.770145426168,TDCP Resort
72.6992308,32.770547526168,Takht-e-Babri
72.7226007,32.735540726168,Swaik Lake
72.7572588,32.858027926168,Old Bhaun Temple
72.6967233,32.768791726168,Sakhi Hoo - Bahoo
72.6055405,32.661978326168,Neela Wahn WaterFall
72.0979216,32.803039626168,Dhurnal dam
72.6247262,32.875262526168,Walana Dam
72.3281531,32.864667826168,Pira Fatehal
72.1269178,32.841303526168,Mial Dam
67.2714356,24.864383826168,Chaukhandi Tombs
71.8815889,33.041328426168,Sassi Da Kallara
72.3662483,32.710762326168,Chinji National Park
72.9885644,31.707586726168,FatimaJinah Park Chiniot
72.976821,31.719895426168,Shahi Masjid Chiniot
72.944883,31.751480326168,Chenab Park
72.9515456,31.757412426168,Boo Ali Qalandar
72.9835628,31.719631926168,Library Park
72.9800253,31.719424626168,Omar Hayat Mahal
72.9800253,31.719424626168,Omar Hayat Mahal
72.9741586,31.716113426168,Peer Shah Burhan
72.8088898,31.826710326168,Mian Muhammad Siddique Lali Auto
70.6258591,30.062348226168,Ghazi Park
70.6265126,30.041541426168,D.G. Khan Zoo
70.642748,30.062686426168,Tomb of Ghazi Khan
70.6307615,30.031231026168,Nawaz Sharif Biodiversity Park
71.4376072,33.626693826168,Ghamkol shareef
69.9848103,29.929971826168,Fort Monroe
73.0228286,33.701830926168,Fatima Jinnah Park (F-9 Park)
73.0386693,34.479615226168,Jirga Pakistan Trust
69.9917425,29.927988526168,TDCP Resorts
70.4947316,29.995236326168,"TDCP,s Resort Sakhi Sarwar"
70.0007787,29.909986826168,Anari orchard top
